rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 36 기 1분기말,430791359535,제 35 기말,398631122191,1,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 36 기 1분기말,84105156490,제 35 기말,70598457797,2,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 36 기 1분기말,10344700000,제 35 기말,714090133,3,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 36 기 1분기말,74562357772,제 35 기말,66707078507,4,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 36 기 1분기말,6780571,제 35 기말,0,5,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 36 기 1분기말,254478349677,제 35 기말,254838284899,6,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 36 기 1분기말,609825828,제 35 기말,497305174,7,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 36 기 1분기말,6684189197,제 35 기말,5275905681,8,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 36 기 1분기말,457695961287,제 35 기말,455882160461,9,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 36 기 1분기말,3000000,제 35 기말,3000000,10,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 36 기 1분기말,2713667309,제 35 기말,2463308739,11,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 36 기 1분기말,3835651135,제 35 기말,2557022780,12,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 36 기 1분기말,1419617904,제 35 기말,1139396842,13,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 36 기 1분기말,403935652855,제 35 기말,402730212653,14,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 36 기 1분기말,4602029981,제 35 기말,4605561199,15,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 36 기 1분기말,7032930444,제 35 기말,6920341171,16,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 36 기 1분기말,21215328382,제 35 기말,21663929766,17,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 36 기 1분기말,12485653115,제 35 기말,13311988276,18,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 36 기 1분기말,452430162,제 35 기말,487399035,19,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 36 기 1분기말,888487320822,제 35 기말,854513282652,20,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 36 기 1분기말,393526536977,제 35 기말,382539610364,22,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융부채,-,제 36 기 1분기말,54441558,제 35 기말,70557352,23,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 36 기 1분기말,38642493717,제 35 기말,40745941653,24,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 36 기 1분기말,261129648938,제 35 기말,222584447316,25,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 36 기 1분기말,28464508288,제 35 기말,41770293869,26,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 36 기 1분기말,52966926265,제 35 기말,67947903586,27,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 36 기 1분기말,445197208,제 35 기말,524461518,28,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 36 기 1분기말,1252241410,제 35 기말,823202907,29,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,-,제 36 기 1분기말,3949984204,제 35 기말,4696269058,30,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 36 기 1분기말,6621095389,제 35 기말,3376533105,31,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 36 기 1분기말,194291121488,제 35 기말,174029707106,32,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무및기타채무,-,제 36 기 1분기말,849095176,제 35 기말,923808308,33,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 36 기 1분기말,117036434830,제 35 기말,123639484388,34,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_BondsIssued,사채,-,제 36 기 1분기말,49908913892,제 35 기말,22959379888,35,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 36 기 1분기말,5776679247,제 35 기말,6033805171,36,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 36 기 1분기말,11132554949,제 35 기말,10416362647,37,KRW,,,,
20210517000928,11013,2021,00139719,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 36 기 1분기말,9587443394,제 35 기말,10056866704,38,KRW,,,,
