rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 38 기,962523038015,제 37 기,940867070391,제 36 기,843413051608,7,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 38 기,478610575794,제 37 기,477189017933,제 36 기,390506390001,8,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 38 기,31304863701,제 37 기,43517363079,제 36 기,35835489063,9,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalentsClassifiedAsPartOfDisposalGroupHeldForSale,매각예정자산,-,제 38 기,0,제 37 기,0,제 36 기,14583506998,10,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 38 기,1624644630,제 37 기,859185305,제 36 기,831099821,11,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 38 기,347485523898,제 37 기,330863791551,제 36 기,254237533607,12,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 38 기,18764102127,제 37 기,18812568618,제 36 기,9384432305,13,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 38 기,748195972,제 37 기,1124928000,제 36 기,1154812000,14,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 38 기,78683245466,제 37 기,82011181380,제 36 기,74479516207,15,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 38 기,483912462221,제 37 기,463678052458,제 36 기,452906661607,16,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 38 기,3000000,제 37 기,3000000,제 36 기,3000000,17,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 38 기,3108836761,제 37 기,3227535399,제 36 기,2440186659,18,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 38 기,19689995537,제 37 기,19116866575,제 36 기,12936672221,19,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 38 기,7225137409,제 37 기,7417892877,제 36 기,7702328371,20,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 38 기,1535813288,제 37 기,1332587756,제 36 기,1037144380,21,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 38 기,7895355760,제 37 기,7134689575,제 36 기,5162635707,22,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 38 기,3717504509,제 37 기,4251985383,제 36 기,4600724876,23,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타비유동자산,-,제 38 기,104200000,제 37 기,16500000,제 36 기,27912366,24,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 38 기,418719618473,제 37 기,404788703111,제 36 기,404236667912,25,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 38 기,21913000484,제 37 기,16388291782,제 36 기,14759389115,26,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 38 기,355727701783,제 37 기,339798458106,제 36 기,322544512357,28,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 지분,-,제 38 기,350280423554,제 37 기,334558178975,제 36 기,316935758194,29,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,dart_CapitalSurplus,기타불입자본,-,제 38 기,102887508159,제 37 기,102470434523,제 36 기,103180296127,30,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 38 기,-10214290661,제 37 기,-11348731635,제 36 기,-7675951226,31,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 38 기,17820288000,제 37 기,17820288000,제 36 기,17820288000,32,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 38 기,239786918056,제 37 기,225616188087,제 36 기,203611125293,33,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 38 기,5447278229,제 37 기,5240279131,제 36 기,5608754163,34,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_EquityAndLiabilities,부채및자본총계,-,제 38 기,962523038015,제 37 기,940867070391,제 36 기,843413051608,35,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 38 기,433728149493,제 37 기,456722508122,제 36 기,381955396863,37,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 38 기,36989731827,제 37 기,22989971670,제 36 기,0,38,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 38 기,32887879000,제 37 기,57398415995,제 36 기,86084168504,39,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동 리스부채,-,제 38 기,4014175517,제 37 기,3256221409,제 36 기,2786725737,40,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 38 기,58349531,제 37 기,54562915,제 36 기,321674768,41,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 38 기,7572118857,제 37 기,18201978470,제 36 기,7362374934,42,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융부채,-,제 38 기,0,제 37 기,0,제 36 기,9555918,43,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타 유동부채,-,제 38 기,6510408402,제 37 기,7589408175,제 36 기,4645650840,44,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 38 기,291272615596,제 37 기,274032237045,제 36 기,221816922958,45,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 38 기,54422870763,제 37 기,73199712443,제 36 기,58928323204,46,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 38 기,606795336232,제 37 기,601068612285,제 36 기,520868539251,47,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 38 기,173067186739,제 37 기,144346104163,제 36 기,138913142388,48,KRW,
20240322000331,11011,2023,00139719,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 38 기,76899102234,제 37 기,59157904467,제 36 기,47907851892,49,KRW,
