rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 34 기,400595688396,제 33 기,404996077959,제 32 기,333423012456,1,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 34 기,15550237957,제 33 기,13220590149,제 32 기,19626446597,2,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 34 기,364653000,제 33 기,433295500,제 32 기,417580000,3,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 34 기,86430171023,제 33 기,91238845527,제 32 기,116019788371,4,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 34 기,,제 33 기,223767976,제 32 기,,5,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 34 기,,제 33 기,31480000,제 32 기,,6,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 34 기,,제 33 기,,제 32 기,582368985,7,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 34 기,292125534333,제 33 기,293624244471,제 32 기,189901458459,8,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 34 기,253171393,제 33 기,434245669,제 32 기,821714203,9,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 34 기,5871920690,제 33 기,5789608667,제 32 기,6053655841,10,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 34 기,446441202544,제 33 기,426832067362,제 32 기,408076525316,11,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 34 기,2225114220,제 33 기,1907205660,제 32 기,1589297100,12,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 34 기,1241809135,제 33 기,1159151814,제 32 기,2972042698,13,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 34 기,19500000,제 33 기,769500000,제 32 기,,14,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 34 기,,제 33 기,,제 32 기,295612119,15,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 34 기,,제 33 기,103593770,제 32 기,,16,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 34 기,,제 33 기,,제 32 기,135081059,17,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 34 기,1495791079,제 33 기,1437112094,제 32 기,650047024,18,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 34 기,400695558815,제 33 기,405837492071,제 32 기,392822174327,19,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권이외의무형자산,-,제 34 기,6413671631,제 33 기,7077740018,제 32 기,2164497493,20,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 34 기,23166153280,제 33 기,,제 32 기,,21,KRW,
20200326001063,11011,2019,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 34 기,10438072506,제 33 기,2159379461,제 32 기,2440878742,22,KRW,
