rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 32 기,333423012456,제 31 기,285059707457,제 30 기,292344200500,1,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 32 기,19626446597,제 31 기,13968848477,제 30 기,24288825243,2,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 32 기,417580000,제 31 기,,제 30 기,2431240586,3,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 32 기,116019788371,제 31 기,102751645796,제 30 기,88522710003,4,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 32 기,582368985,제 31 기,14830000,제 30 기,318420000,5,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,당기손익인식금융자산,-,제 32 기,,제 31 기,4664267,제 30 기,,6,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_Inventories,재고자산,-,제 32 기,189901458459,제 31 기,162426100933,제 30 기,164829636453,7,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 32 기,821714203,제 31 기,1077761780,제 30 기,2720352550,8,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 32 기,6053655841,제 31 기,4815856204,제 30 기,9233015665,9,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 32 기,408076525316,제 31 기,381082796831,제 30 기,328802736592,10,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 32 기,1589297100,제 31 기,1271388540,제 30 기,955979980,11,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,-,제 32 기,2972042698,제 31 기,4131825631,제 30 기,2121159591,12,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 32 기,295612119,제 31 기,919500000,제 30 기,919500000,13,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 32 기,135081059,제 31 기,135307575,제 30 기,151184721,14,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 32 기,650047024,제 31 기,3851860308,제 30 기,3780527187,15,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 32 기,392822174327,제 31 기,357080363120,제 30 기,310942304031,16,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 32 기,2164497493,제 31 기,4338207115,제 30 기,5158271530,17,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 32 기,2440878742,제 31 기,4041498859,제 30 기,4581338371,18,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 32 기,5006894754,제 31 기,5312845683,제 30 기,192471181,19,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_Assets,자산총계,-,제 32 기,741499537772,제 31 기,666142504288,제 30 기,621146937092,20,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 32 기,278479070095,제 31 기,256805864723,제 30 기,266050902496,22,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 32 기,64175184878,제 31 기,54502898848,제 30 기,40349605475,23,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_CurrentFinancialLiabilitiesDesignationAsAtFairValueThroughProfitOrLoss,당기손익인식금융부채,-,제 32 기,,제 31 기,23452587,제 30 기,64551460,24,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 32 기,175716225896,제 31 기,194696946767,제 30 기,205198664287,25,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 32 기,29986345674,제 31 기,,제 30 기,12983104247,26,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,dart_CurrentFinancialGuaranteeLiabilities,금융보증부채,-,제 32 기,,제 31 기,981368,제 30 기,475865,27,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 32 기,36616648,제 31 기,33918835,제 30 기,171675729,28,KRW,
20180328000820,11011,2017,00139719,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 32 기,5627508609,제 31 기,5341496157,제 30 기,4934636195,29,KRW,
