rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 36 기 3분기말,474437751428,제 35 기말,398631122191,1,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 36 기 3분기말,96588040099,제 35 기말,70598457797,2,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 36 기 3분기말,11134786000,제 35 기말,714090133,3,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 36 기 3분기말,87911955729,제 35 기말,66707078507,4,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 36 기 3분기말,250696413524,제 35 기말,254838284899,5,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 36 기 3분기말,922610753,제 35 기말,497305174,6,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 36 기 3분기말,12600438325,제 35 기말,5275905681,7,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 36 기 3분기말,14583506998,제 35 기말,0,8,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 36 기 3분기말,454659005999,제 35 기말,455882160461,9,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 36 기 3분기말,3000000,제 35 기말,3000000,10,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 36 기 3분기말,2564452276,제 35 기말,2463308739,11,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 36 기 3분기말,4032134969,제 35 기말,2557022780,12,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 36 기 3분기말,1102801931,제 35 기말,1139396842,13,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 36 기 3분기말,404957697134,제 35 기말,402730212653,14,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 36 기 3분기말,4712399383,제 35 기말,4605561199,15,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 36 기 3분기말,7573206296,제 35 기말,6920341171,16,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 36 기 3분기말,17201796147,제 35 기말,21663929766,17,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 36 기 3분기말,12494723932,제 35 기말,13311988276,18,KRW,,,,
20211115002264,11014,2021,00139719,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 36 기 3분기말,16793931,제 35 기말,487399035,19,KRW,,,,
