rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 33 기,404996077959,제 32 기,333423012456,제 31 기,285059707457,1,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 33 기,13220590149,제 32 기,19626446597,제 31 기,13968848477,2,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 33 기,433295500,제 32 기,417580000,제 31 기,,3,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 33 기,91238845527,제 32 기,116019788371,제 31 기,102751645796,4,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 33 기,223767976,제 32 기,,제 31 기,4664267,5,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 33 기,31480000,제 32 기,,제 31 기,,6,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 33 기,,제 32 기,582368985,제 31 기,14830000,7,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_Inventories,재고자산,-,제 33 기,293624244471,제 32 기,189901458459,제 31 기,162426100933,9,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 33 기,434245669,제 32 기,821714203,제 31 기,1077761780,10,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 33 기,5789608667,제 32 기,6053655841,제 31 기,4815856204,11,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 33 기,426832067362,제 32 기,408076525316,제 31 기,381082796831,12,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 33 기,1907205660,제 32 기,1589297100,제 31 기,1271388540,13,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 33 기,1159151814,제 32 기,2972042698,제 31 기,4131825631,14,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 33 기,769500000,제 32 기,,제 31 기,,15,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 33 기,,제 32 기,295612119,제 31 기,919500000,16,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 33 기,103593770,제 32 기,,제 31 기,,17,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 33 기,,제 32 기,135081059,제 31 기,135307575,18,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 33 기,1437112094,제 32 기,650047024,제 31 기,3851860308,19,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 33 기,405837492071,제 32 기,392822174327,제 31 기,357080363120,20,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권이외의무형자산,-,제 33 기,7077740018,제 32 기,2164497493,제 31 기,4338207115,21,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 33 기,2159379461,제 32 기,2440878742,제 31 기,4041498859,22,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 33 기,6380892474,제 32 기,5006894754,제 31 기,5312845683,23,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_Assets,자산총계,-,제 33 기,831828145321,제 32 기,741499537772,제 31 기,666142504288,24,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 33 기,328634666371,제 32 기,278479070095,제 31 기,256805864723,26,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 33 기,79391571389,제 32 기,64175184878,제 31 기,54502898848,27,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융부채,-,제 33 기,96202999,제 32 기,,제 31 기,23452587,28,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 33 기,222095756845,제 32 기,175716225896,제 31 기,194696946767,29,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 33 기,18975455226,제 32 기,29986345674,제 31 기,,30,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_CurrentFinancialGuaranteeLiabilities,금융보증부채,-,제 33 기,,제 32 기,,제 31 기,981368,31,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 33 기,38290330,제 32 기,36616648,제 31 기,33918835,32,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 33 기,5527893755,제 32 기,5627508609,제 31 기,5341496157,33,KRW,
20190327001319,11011,2018,00139719,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 33 기,2509495827,제 32 기,2937188390,제 31 기,2206170161,34,KRW,
