rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 39 기,1076177063808,제 38 기,962523038015,제 37 기,940867070391,7,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 39 기,565554863989,제 38 기,478610575794,제 37 기,477189017933,8,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 39 기,38612462318,제 38 기,31304863701,제 37 기,43517363079,9,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산,-,제 39 기,150000000,제 38 기,0,제 37 기,0,10,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 39 기,1163639523,제 38 기,1624644630,제 37 기,859185305,11,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 39 기,406002949386,제 38 기,347485523898,제 37 기,330863791551,12,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 39 기,26587234669,제 38 기,18764102127,제 37 기,18812568618,13,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 39 기,942275602,제 38 기,748195972,제 37 기,1124928000,14,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 39 기,92096302491,제 38 기,78683245466,제 37 기,82011181380,15,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 39 기,510622199819,제 38 기,483912462221,제 37 기,463678052458,16,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 39 기,3000000,제 38 기,3000000,제 37 기,3000000,17,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 39 기,3510888079,제 38 기,3108836761,제 37 기,3227535399,18,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익-공정가치측정금융자산,-,제 39 기,1457287583,제 38 기,3717504509,제 37 기,4251985383,19,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 39 기,25571676834,제 38 기,19689995537,제 37 기,19116866575,20,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,-,제 39 기,7634325780,제 38 기,7225137409,제 37 기,7417892877,21,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 39 기,3497433210,제 38 기,1535813288,제 37 기,1332587756,22,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 39 기,8034006292,제 38 기,7895355760,제 37 기,7134689575,23,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타비유동자산,-,제 39 기,1689715600,제 38 기,104200000,제 37 기,16500000,24,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 39 기,437404003778,제 38 기,418719618473,제 37 기,404788703111,25,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 39 기,21819862663,제 38 기,21913000484,제 37 기,16388291782,26,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 39 기,403584111785,제 38 기,355727701783,제 37 기,339798458106,28,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 39 기,396835082287,제 38 기,350280423554,제 37 기,334558178975,29,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_CapitalSurplus,기타불입자본,-,제 39 기,120872590159,제 38 기,102887508159,제 37 기,102470434523,30,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 39 기,14869418310,제 38 기,-10214290661,제 37 기,-11348731635,31,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 39 기,19320288000,제 38 기,17820288000,제 37 기,17820288000,32,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 39 기,241772785818,제 38 기,239786918056,제 37 기,225616188087,33,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 39 기,6749029498,제 38 기,5447278229,제 37 기,5240279131,34,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 39 기,1076177063808,제 38 기,962523038015,제 37 기,940867070391,35,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 39 기,535701014092,제 38 기,433728149493,제 37 기,456722508122,37,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 39 기,44967194412,제 38 기,36989731827,제 37 기,22989971670,38,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융부채,-,제 39 기,14257685,제 38 기,0,제 37 기,0,39,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동 리스부채,-,제 39 기,4209646740,제 38 기,4014175517,제 37 기,3256221409,40,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 39 기,48021066845,제 38 기,32887879000,제 37 기,57398415995,41,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 39 기,110230268,제 38 기,58349531,제 37 기,54562915,42,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 39 기,13775849762,제 38 기,7572118857,제 37 기,18201978470,43,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타 유동부채,-,제 39 기,6995455277,제 38 기,6510408402,제 37 기,7589408175,44,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 39 기,346432297127,제 38 기,291272615596,제 37 기,274032237045,45,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 39 기,71175015976,제 38 기,54422870763,제 37 기,73199712443,46,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 39 기,672592952023,제 38 기,606795336232,제 37 기,601068612285,47,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 39 기,136891937931,제 38 기,173067186739,제 37 기,144346104163,48,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,-,제 39 기,1146178277,제 38 기,862357266,제 37 기,778421593,49,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 39 기,11296006305,제 38 기,7802836863,제 37 기,11655918718,50,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 39 기,5801132372,제 38 기,10075216633,제 37 기,11543236462,51,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동 리스부채,-,제 39 기,8029188243,제 38 기,9558046130,제 37 기,9271216276,52,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued,비유동 사채의 비유동성 부분,-,제 39 기,49925693285,제 38 기,67869627613,제 37 기,51939406647,53,KRW,
20250318000722,11011,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,장기차입금,-,제 39 기,60693739449,제 38 기,76899102234,제 37 기,59157904467,54,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,dart_BadDebtExpensesSellingGeneralAdministrativeExpenses,"대손상각비(대손충당금환입), 판관비",-,제 39 기,446835643,제 38 기,-707573161,제 37 기,-839845383,2,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 39 기,55815895657,제 38 기,54685648371,제 37 기,72644206360,7,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,dart_OtherGains,기타이익,-,제 39 기,24081282965,제 38 기,17430624608,제 37 기,24471282490,8,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,dart_OtherLosses,기타손실,-,제 39 기,10517485512,제 38 기,10056873684,제 37 기,18304175409,9,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익(손실),-,제 39 기,-572925844,제 38 기,117116375,제 37 기,585827080,10,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,기타대손충당금환입,-,제 39 기,-909232774,제 38 기,1396710503,제 37 기,-1381417365,11,KRW,
20250318000722,11011,2024,00139719,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,총포괄손익,-,제 39 기,37610091635,제 38 기,26449558250,제 37 기,25902694116,12,KRW,
