rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 32 기 1분기말,305558153933,제 31 기말,285059707457,제 30 기,292344200500,1,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 32 기 1분기말,23453343558,제 31 기말,13968848477,제 30 기,24288825243,2,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 32 기 1분기말,,제 31 기말,,제 30 기,2431240586,13,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 32 기 1분기말,102678285711,제 31 기말,102751645796,제 30 기,88522710003,14,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 32 기 1분기말,8250000,제 31 기말,14830000,제 30 기,318420000,28,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,-표준계정코드 미사용-,유동당기손익인식금융자산,-,제 32 기 1분기말,,제 31 기말,4664267,,,29,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_Inventories,재고자산,-,제 32 기 1분기말,173437882442,제 31 기말,162426100933,제 30 기,164829636453,31,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 32 기 1분기말,605635236,제 31 기말,1077761780,제 30 기,2720352550,50,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동자산,-,제 32 기 1분기말,5374756986,제 31 기말,4815856204,제 30 기,9233015665,52,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 32 기 1분기말,381934698162,제 31 기말,381082796831,제 30 기,328802736592,64,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,dart_NonCurrentReceivablesGross,장기금융상품,-,제 32 기 1분기말,1350865680,제 31 기말,1271388540,제 30 기,955979980,65,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,-,제 32 기 1분기말,3984918920,제 31 기말,4131825631,제 30 기,2121159591,66,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 32 기 1분기말,905942095,제 31 기말,919500000,제 30 기,919500000,80,KRW,,,,
20170515004921,11013,2017,00139719,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 32 기 1분기말,129234451,제 31 기말,135307575,제 30 기,151184721,81,KRW,,,,
