rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 35 기 1분기말,426282526387,제 34 기말,400595688396,1,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 35 기 1분기말,29214987383,제 34 기말,15550237957,2,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 35 기 1분기말,1719499840,제 34 기말,364653000,3,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 35 기 1분기말,93623383191,제 34 기말,86430171023,4,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 35 기 1분기말,25820519,제 34 기말,,5,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 35 기 1분기말,294439182889,제 34 기말,292125534333,6,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 35 기 1분기말,402322100,제 34 기말,253171393,7,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 35 기 1분기말,6857330465,제 34 기말,5871920690,8,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 35 기 1분기말,449472114455,제 34 기말,446441202544,9,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 35 기 1분기말,2302091360,제 34 기말,2225114220,10,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 35 기 1분기말,980539375,제 34 기말,1241809135,11,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 35 기 1분기말,19500000,제 34 기말,19500000,12,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 35 기 1분기말,1784168470,제 34 기말,1495791079,13,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 35 기 1분기말,403526242738,제 34 기말,400695558815,14,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권이외의무형자산,-,제 35 기 1분기말,6834194083,제 34 기말,6413671631,15,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 35 기 1분기말,22843682591,제 34 기말,23166153280,16,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 35 기 1분기말,10446404619,제 34 기말,10438072506,17,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 35 기 1분기말,735291219,제 34 기말,745531878,18,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 35 기 1분기말,875754640842,제 34 기말,847036890940,19,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 35 기 1분기말,411194430538,제 34 기말,342441021520,21,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융부채,-,제 35 기 1분기말,112149423,제 34 기말,96705460,22,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 35 기 1분기말,50761607908,제 34 기말,54605072159,23,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 35 기 1분기말,251336046000,제 34 기말,216079737353,24,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 35 기 1분기말,79208139869,제 34 기말,59625431895,25,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 35 기 1분기말,14978004620,제 34 기말,,26,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 35 기 1분기말,1652221552,제 34 기말,1326176704,27,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 35 기 1분기말,1515190056,제 34 기말,3113080475,28,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_CurentPortionOfFinanceLeaseLiabilities,리스부채,-,제 35 기 1분기말,5354224489,제 34 기말,5276145708,29,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 35 기 1분기말,6276846621,제 34 기말,2318671766,30,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 35 기 1분기말,137623494105,제 34 기말,173642225294,31,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무및기타채무,-,제 35 기 1분기말,746296227,제 34 기말,950957896,32,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 35 기 1분기말,55991294687,제 34 기말,75922383096,33,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_BondsIssued,사채,-,제 35 기 1분기말,52910386244,제 34 기말,67869030051,34,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_NonCurrentFinanceLeaseLiabilities,리스부채,-,제 35 기 1분기말,7680176952,제 34 기말,8689359271,35,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 35 기 1분기말,13520535807,제 34 기말,13080037354,36,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 35 기 1분기말,6774804188,제 34 기말,7130457626,37,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 35 기 1분기말,548817924643,제 34 기말,516083246814,38,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 35 기 1분기말,322681578398,제 34 기말,326435104079,40,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 35 기 1분기말,16010333500,제 34 기말,16010333500,41,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_CapitalSurplus,기타불입자본,-,제 35 기 1분기말,84834585295,제 34 기말,84834585295,42,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 35 기 1분기말,230724231276,제 34 기말,239011230865,43,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 35 기 1분기말,-8887571673,제 34 기말,-13421045581,44,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 35 기 1분기말,4255137801,제 34 기말,4518540047,45,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 35 기 1분기말,326936716199,제 34 기말,330953644126,46,KRW,,,,
20200515002134,11013,2020,00139719,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 35 기 1분기말,875754640842,제 34 기말,847036890940,47,KRW,,,,
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 35 기 1분기,95556299680,,,0,KRW,95556299680,제 34 기 1분기,104537276789,104537276789
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 35 기 1분기,71900387203,,,1,KRW,71900387203,제 34 기 1분기,70544478756,70544478756
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 35 기 1분기,23655912477,,,2,KRW,23655912477,제 34 기 1분기,33992798033,33992798033
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비,-,제 35 기 1분기,14403735978,,,3,KRW,14403735978,제 34 기 1분기,15428186945,15428186945
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,-표준계정코드 미사용-,관리비,-,제 35 기 1분기,10406897129,,,4,KRW,10406897129,제 34 기 1분기,10131651732,10131651732
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,-표준계정코드 미사용-,대손상각비(환입),-,제 35 기 1분기,-220923361,,,5,KRW,-220923361,제 34 기 1분기,137954709,137954709
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 35 기 1분기,-933797269,,,6,KRW,-933797269,제 34 기 1분기,8295004647,8295004647
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 35 기 1분기,8676595383,,,7,KRW,8676595383,제 34 기 1분기,4108480893,4108480893
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 35 기 1분기,5052298268,,,8,KRW,5052298268,제 34 기 1분기,2482674726,2482674726
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 35 기 1분기,1773182409,,,9,KRW,1773182409,제 34 기 1분기,2372881908,2372881908
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 35 기 1분기,10002964420,,,10,KRW,10002964420,제 34 기 1분기,5929879999,5929879999
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,-표준계정코드 미사용-,기타의대손상각비(환입),-,제 35 기 1분기,-7520293,,,11,KRW,-7520293,제 34 기 1분기,800439927,800439927
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,-표준계정코드 미사용-,관계기업투자손익,-,제 35 기 1분기,223014962,,,12,KRW,223014962,제 34 기 1분기,-222553493,-222553493
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 35 기 1분기,-5308746910,,,13,KRW,-5308746910,제 34 기 1분기,5340819303,5340819303
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),-,제 35 기 1분기,-529975057,,,14,KRW,-529975057,제 34 기 1분기,1497913619,1497913619
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ProfitLoss,분기순이익(손실),-,제 35 기 1분기,-4778771853,,,15,KRW,-4778771853,제 34 기 1분기,3842905684,3842905684
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,기타포괄손익,-,제 35 기 1분기,4535752606,,,16,KRW,4535752606,제 34 기 1분기,3083608898,3083608898
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,-,제 35 기 1분기,4535752606,,,17,KRW,4535752606,제 34 기 1분기,3083608898,3083608898
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,외화환산외환차이의 세전기타포괄손익,-,제 35 기 1분기,4470390177,,,18,KRW,4470390177,제 34 기 1분기,3085402423,3085402423
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,-,제 35 기 1분기,83797986,,,19,KRW,83797986,제 34 기 1분기,-2299392,-2299392
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,-표준계정코드 미사용-,당기손익으로 재분류될수있는항목의법인세,-,제 35 기 1분기,-18435557,,,20,KRW,-18435557,제 34 기 1분기,505867,505867
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,분기총포괄손익(손실),-,제 35 기 1분기,-243019247,,,21,KRW,-243019247,제 34 기 1분기,6926514582,6926514582
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,-,제 35 기 1분기,-4513090909,,,23,KRW,-4513090909,제 34 기 1분기,4075457901,4075457901
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 35 기 1분기,-265680944,,,24,KRW,-265680944,제 34 기 1분기,-232552217,-232552217
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,-,제 35 기 1분기,20382999,,,26,KRW,20382999,제 34 기 1분기,6209362929,6209362929
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,-,제 35 기 1분기,-263402246,,,27,KRW,-263402246,제 34 기 1분기,717151653,717151653
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),-,제 35 기 1분기,-149,,,29,KRW,-149,제 34 기 1분기,132,132
20200515002134,11013,2020,00139719,CIS,포괄손익계산서,ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),-,제 35 기 1분기,-149,,,30,KRW,-149,제 34 기 1분기,130,130
20200515002134,11013,2020,00139719,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로인한현금흐름,-,제 35 기 1분기,-164926844,,,0,KRW,,제 34 기 1분기,-25637648442,
20200515002134,11013,2020,00139719,CF,현금흐름표,dart_ProfitLossForStatementOfCashFlows,분기순이익(손실),-,제 35 기 1분기,-4778771853,,,1,KRW,,제 34 기 1분기,3842905684,
20200515002134,11013,2020,00139719,CF,현금흐름표,ifrs-full_AdjustmentsForReconcileProfitLoss,가감,-,제 35 기 1분기,15264784053,,,2,KRW,,제 34 기 1분기,15532777562,
20200515002134,11013,2020,00139719,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,자산ㆍ부채의증감,-,제 35 기 1분기,-9164550430,,,3,KRW,,제 34 기 1분기,-42001647633,
20200515002134,11013,2020,00139719,CF,현금흐름표,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부,-,제 35 기 1분기,1486388614,,,4,KRW,,제 34 기 1분기,3011684055,
