rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 39 기 반기말,1045480709957,제 38 기말,962523038015,7,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 39 기 반기말,551938624837,제 38 기말,478610575794,8,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 39 기 반기말,52789078114,제 38 기말,31304863701,9,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 39 기 반기말,9776768,제 38 기말,0,10,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 39 기 반기말,1166986225,제 38 기말,1624644630,11,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 39 기 반기말,376322430117,제 38 기말,347485523898,12,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 39 기 반기말,26577972872,제 38 기말,18764102127,13,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 39 기 반기말,1298750565,제 38 기말,748195972,14,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 39 기 반기말,93773630176,제 38 기말,78683245466,15,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 39 기 반기말,493542085120,제 38 기말,483912462221,16,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 39 기 반기말,3000000,제 38 기말,3000000,17,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 39 기 반기말,3226822339,제 38 기말,3108836761,18,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 39 기 반기말,21649991846,제 38 기말,19689995537,19,KRW,,,,
20240814003318,11012,2024,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 39 기 반기말,7036355152,제 38 기말,7225137409,20,KRW,,,,
