rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 39 기 1분기말,1016446946723,제 38 기말,962523038015,7,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 39 기 1분기말,528184419217,제 38 기말,478610575794,8,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 39 기 1분기말,47492492063,제 38 기말,31304863701,9,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 39 기 1분기말,1953868,제 38 기말,0,10,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 39 기 1분기말,1749476952,제 38 기말,1624644630,11,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 39 기 1분기말,358944556916,제 38 기말,347485523898,12,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 39 기 1분기말,22518223235,제 38 기말,18764102127,13,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 39 기 1분기말,939445374,제 38 기말,748195972,14,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 39 기 1분기말,96538270809,제 38 기말,78683245466,15,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 39 기 1분기말,488262527506,제 38 기말,483912462221,16,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 39 기 1분기말,3000000,제 38 기말,3000000,17,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 39 기 1분기말,2980310059,제 38 기말,3108836761,18,KRW,,,,
20240516000975,11013,2024,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 39 기 1분기말,20372319723,제 38 기말,19689995537,19,KRW,,,,
