rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 31 기,285059707457,제 30 기,292344200500,제 29 기,311340423694,1,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 31 기,13968848477,제 30 기,24288825243,제 29 기,10599962117,2,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 31 기,,제 30 기,2431240586,제 29 기,23718123554,13,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 31 기,102751645796,제 30 기,88522710003,제 29 기,83041565132,14,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 31 기,14830000,제 30 기,318420000,제 29 기,1128091243,28,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,유동당기손익인식금융자산,-,제 31 기,4664267,제 30 기,,제 29 기,,29,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_Inventories,재고자산,-,제 31 기,162426100933,제 30 기,164829636453,제 29 기,178424799313,31,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 31 기,1077761780,제 30 기,2720352550,제 29 기,1602256045,50,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동자산,-,제 31 기,4815856204,제 30 기,9233015665,제 29 기,12825626290,52,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 31 기,381082796831,제 30 기,328802736592,제 29 기,296911515742,64,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,dart_NonCurrentReceivablesGross,장기금융상품,-,제 31 기,1271388540,제 30 기,955979980,제 29 기,633000000,65,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,-,제 31 기,4131825631,제 30 기,2121159591,제 29 기,2353116758,66,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 31 기,919500000,제 30 기,919500000,제 29 기,9500000,80,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 31 기,135307575,제 30 기,151184721,제 29 기,474139115,81,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 31 기,3851860308,제 30 기,3780527187,제 29 기,3056287849,82,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 31 기,357080363120,제 30 기,310942304031,제 29 기,284735073636,83,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 31 기,4338207115,제 30 기,5158271530,제 29 기,2262897778,123,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 31 기,4041498859,제 30 기,4581338371,제 29 기,3366134809,142,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동자산,-,제 31 기,5312845683,제 30 기,192471181,제 29 기,21365797,143,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_Assets,자산총계,-,제 31 기,666142504288,제 30 기,621146937092,제 29 기,608251939436,160,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 31 기,256805864723,제 30 기,266050902496,제 29 기,274292340217,162,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 31 기,54502898848,제 30 기,40349605475,제 29 기,33831788918,163,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,유동당기손익인식금융부채,-,제 31 기,23452587,제 30 기,64551460,제 29 기,,171,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 31 기,194696946767,제 30 기,205198664287,제 29 기,178204529221,172,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,유동성사채,-,제 31 기,,제 30 기,12983104247,제 29 기,24988779259,173,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,금융보증부채,-,제 31 기,981368,제 30 기,475865,제 29 기,2759743,174,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 31 기,33918835,제 30 기,171675729,제 29 기,324580005,175,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,유동성신주인수권부사채,-,제 31 기,,제 30 기,,제 29 기,31724927796,184,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 31 기,5341496157,제 30 기,4934636195,제 29 기,2211648028,185,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동부채,-,제 31 기,2206170161,제 30 기,2348189238,제 29 기,3003327247,187,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 31 기,138631709226,제 30 기,100684381193,제 29 기,127767683909,191,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타채무,-,제 31 기,351722492,제 30 기,145900737,제 29 기,67980717,192,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 31 기,75374254738,제 30 기,58413403790,제 29 기,93061983789,203,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 31 기,48913346247,제 30 기,29946352113,제 29 기,24862030083,204,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 31 기,6714135262,제 30 기,4058768939,제 29 기,2848371698,205,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 31 기,7278250487,제 30 기,8119955614,제 29 기,6927317622,208,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 31 기,395437573949,제 30 기,366735283689,제 29 기,402060024126,222,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 31 기,270538359753,제 30 기,254245198710,제 29 기,206055438972,224,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,자본금,-,제 31 기,15014470500,제 30 기,14307760000,제 29 기,12414777000,225,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,기타불입자본,-,제 31 기,62529819503,제 30 기,101565156233,제 29 기,64535764501,226,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,이익잉여금,-,제 31 기,202334645316,제 30 기,146208512789,제 29 기,136802993319,227,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,기타자본구성요소,-,제 31 기,-9340575566,제 30 기,-7836230312,제 29 기,-7698095848,228,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 31 기,166570586,제 30 기,166454693,제 29 기,136476338,229,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_Equity,자본총계,-,제 31 기,270704930339,제 30 기,254411653403,제 29 기,206191915310,244,KRW,
20170329000791,11011,2016,00139719,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 31 기,666142504288,제 30 기,621146937092,제 29 기,608251939436,245,KRW,
20170329000791,11011,2016,00139719,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 31 기,334715216436,제 30 기,321918321250,제 29 기,297677640662,0,KRW,
20170329000791,11011,2016,00139719,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 31 기,228587669258,제 30 기,225511291915,제 29 기,211555260414,8,KRW,
20170329000791,11011,2016,00139719,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 31 기,106127547178,제 30 기,96407029335,제 29 기,86122380248,16,KRW,
20170329000791,11011,2016,00139719,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비,-,제 31 기,34028418285,제 30 기,29083575198,제 29 기,28864628442,17,KRW,
