rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 32 기 3분기말,350537318552,제 31 기말,285059707457,1,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 32 기 3분기말,22427069521,제 31 기말,13968848477,2,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 32 기 3분기말,130865062614,제 31 기말,102751645796,7,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 32 기 3분기말,295660439,제 31 기말,14830000,41,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,당기손익인식금융자산,-,제 32 기 3분기말,,제 31 기말,4664267,42,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_Inventories,재고자산,-,제 32 기 3분기말,190519696307,제 31 기말,162426100933,43,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 32 기 3분기말,932106955,제 31 기말,1077761780,70,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 32 기 3분기말,5497722716,제 31 기말,4815856204,71,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 32 기 3분기말,411839704281,제 31 기말,381082796831,88,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 32 기 3분기말,1509819960,제 31 기말,1271388540,89,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,-,제 32 기 3분기말,3009401026,제 31 기말,4131825631,90,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 32 기 3분기말,555745007,제 31 기말,919500000,137,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 32 기 3분기말,140881261,제 31 기말,135307575,138,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 32 기 3분기말,798083429,제 31 기말,3851860308,139,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 32 기 3분기말,391040650744,제 31 기말,357080363120,140,KRW,,,,
20171114002500,11014,2017,00139719,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 32 기 3분기말,5500911704,제 31 기말,4338207115,215,KRW,,,,
